Sample	Coalescent Time	First Ascertained	First Unascertained	IndexAtCoalescent
4243	17.55885184588241	12.074930	6.882805	0
0313	20.319914999999998	5.110730	3.693435	1
0912	27.611885000000004	14.517145	7.618280	0
3002	10.649240000000006	6.632780	6.539340	0
0297	10.01852	16.934905	6.326180	0
2578	14.743755260105898	19.927540	1.977205	0
2689	14.665281880382263	20.643305	1.198660	0
2348	17.055719999999997	17.722940	8.269805	0
3817	20.657540000000004	31.542935	11.339455	0
0661	2.1375221009094156	5.027510	3.616055	0
3347	8.497929999999998	10.527695	3.159440	0
2342	19.09607	21.317825	3.072935	0
4116	21.23351	1.043535	4.066465	0
1479	4.14786	8.480775	8.030365	0
4878	22.511288178008197	26.017200	7.212400	0
0519	18.57485	36.531025	2.381260	0
1322	4.079239999999997	11.901555	4.292765	0
3836	35.647725	9.600960	16.688895	0
0827	12.645789999999998	13.442220	9.642935	0
3629	13.314835000000002	19.914035	4.986995	0
1145	3.314200000000002	9.569935	4.646085	1
2537	15.426725000000001	28.536065	10.453600	0
0082	5.429375000000002	16.850955	8.889210	0
4712	7.5752099999999984	7.745665	7.745300	0
0129	5.112554999999993	9.805360	2.730200	1
4396	6.8680225	6.742645	2.631285	0
3109	4.180484384928641	6.591535	3.782495	0
2762	5.278995	13.590410	2.326145	0
1875	24.540069433234173	11.597875	5.570995	0
0983	0.89717	7.903345	4.468695	0
3753	22.393479999999997	25.774475	7.112390	0
4450	6.468165000000002	11.133595	8.067595	0
0099	13.184198793018394	16.794745	3.727380	0
2817	22.956310000000002	15.995030	2.006405	0
2120	16.06803	2.985700	10.984310	0
3842	4.861800000000002	9.432330	4.190200	1
2103	3.1025	16.056350	4.197500	0
0721	36.67155	19.055920	2.127585	0
0972	15.205132763583078	17.438970	9.767035	0
2508	18.800055	17.214130	17.352830	0
4204	31.031205	24.765250	2.852110	0
1939	13.72071499999999	9.091785	5.357470	0
1081	11.548110169667913	6.575840	4.447890	0
3310	4.533299999999993	10.718590	1.054120	1
4050	28.00572	26.050415	2.832035	0
1538	27.969585000000006	38.392160	13.656110	0
2592	4.1431150000000025	6.394435	4.118660	1
2457	19.868497418622834	14.454000	5.040650	0
2521	17.426925000000008	8.647945	11.923820	1
4916	11.545315	14.906965	5.457480	0
0728	18.61646	24.813065	9.355315	0
0425	46.16228	3.280255	1.694330	1
0235	15.847426150076041	18.152910	15.107350	0
0412	3.4165294240648016	15.943930	3.871190	0
0273	31.373575000000002	2.328700	8.496835	0
4038	29.389799999999997	4.883700	10.575875	0
3517	16.214395000000003	15.655215	5.528655	0
4865	2.510834999999999	5.934535	9.213695	0
4674	12.7020560782292	8.764015	4.696090	0
3287	7.775595000000006	10.109040	5.282645	0
2973	3.229520000000003	13.600630	3.707305	1
3988	7.3787406930262	10.323295	7.589080	0
2352	1.128579999999999	9.903545	4.886255	1
3684	3.056145000000002	10.877365	3.771545	0
3523	27.521128416042693	31.703900	16.894025	0
4808	0.823075	1.200120	4.292400	0
1695	11.385517255687683	24.600270	4.617615	0
4934	5.208915	24.717800	14.310555	0
2373	44.56894119394473	11.647880	6.957265	0
3493	16.526809423118937	8.224545	3.633575	0
0621	18.088653709664747	28.617460	16.803505	0
2714	17.11449401377847	23.245755	2.180145	0
1795	17.927704999999992	23.906405	4.135450	0
4791	16.247245000000007	6.805425	2.605370	0
0799	6.824399165220569	13.086710	5.319510	0
2651	10.851085000000005	4.034345	4.951225	0
4186	18.143784999999998	14.138640	4.114280	0
1125	35.948485000000005	28.316700	20.715940	0
3289	2.161530000000004	18.610255	4.731860	0
0028	15.838445	22.037240	9.630890	0
2991	9.360059999999997	4.286195	9.310055	0
0559	18.22568556260498	2.565950	12.679735	0
0900	0.1708199999999986	13.228330	6.538245	0
0093	4.407010000000003	3.331720	6.606500	1
3443	13.271571864564427	21.950005	8.250460	0
4586	19.800985902986554	13.606105	7.832535	0
2114	18.757714999999997	32.839780	15.337665	0
4007	13.990450000000001	18.190870	5.457845	0
0777	66.34951749999999	20.746965	3.842355	0
0423	6.829879999999998	4.707770	3.944555	1
1447	30.584601704950067	18.552220	11.610285	0
4688	24.944100000000006	10.047720	2.275775	0
2978	38.77176	30.476040	5.170225	0
4643	17.108645000000003	10.738300	3.094105	0
0572	8.992504999999996	8.669115	7.950430	0
4594	4.893920000000001	13.427255	4.238380	0
2470	3.4952400000000003	13.841530	7.142685	0
0971	10.2417175	11.732560	6.050240	0
2467	17.468754236411183	17.833170	11.160240	0
2223	17.0314475	10.159045	5.026780	0
2531	18.744783976490773	21.396300	2.783125	0
4466	18.13174	18.682525	8.173810	0
0627	14.422245000000002	11.759570	8.574945	0
1412	8.5483	21.359435	4.325615	0
4049	11.523096062832394	16.397990	4.886255	0
1366	2.145105	9.219170	4.950495	1
2989	29.572300000000002	18.031365	3.965360	0
4468	11.71066	13.949205	7.151080	0
0955	34.118205766731336	36.313485	0.914325	0
3277	9.218321414970804	1.555265	8.817305	0
1699	6.694829999999999	13.944460	3.791985	0
3669	2.4053500000000003	11.086510	0.816140	0
4036	10.083817923061973	17.301730	6.419255	0
0199	9.303850000000006	17.014475	6.556495	0
1278	2.467764999999996	8.955275	4.851215	0
1304	18.506594999999997	10.357240	13.983515	0
2086	9.997605856056712	5.453830	7.568275	0
0219	10.645589999999997	18.678145	5.463320	0
2686	30.07527000000001	25.083165	6.711620	0
3226	7.469059297622764	10.179850	6.411225	0
1852	6.826001986063889	10.841960	3.118925	0
4292	7.96722	15.417235	3.074760	0
2615	14.988177499999999	14.352895	7.686900	0
0612	5.569535	6.317785	3.380265	0
3661	20.752439999999996	27.963015	5.886720	0
3436	6.488970000000001	5.316955	4.343865	1
2711	51.09817499999999	20.688565	7.619740	0
0527	4.081429999999999	14.971570	9.538910	0
1638	77.81033500000001	23.622435	5.541795	0
4382	2.0516650000000003	5.931615	2.765240	0
1847	20.885665000000007	6.952155	9.014040	0
1817	20.173570354561292	13.557195	5.127155	0
0656	16.694299339001986	8.632980	10.833565	0
0493	34.8417626238107	10.659460	4.220860	0
4416	20.74441	17.026520	8.278200	0
3068	35.96929	39.727695	8.458875	0
2255	15.255184387451019	10.865320	6.481305	0
1451	20.881285000000002	18.456955	8.025255	0
3849	6.339818203076507	11.308065	2.923285	0
1208	39.482415	38.431215	3.069285	0
4138	22.154405000000004	4.713610	4.953780	0
0709	42.56848999999999	10.776625	3.745265	0
0580	27.90072514586073	24.219940	14.075130	0
0581	22.11608	14.075130	18.679605	0
2836	41.955655	38.725040	9.776525	0
1900	14.689425000000002	17.299905	6.001330	0
4733	21.798215104715037	22.159880	8.294990	0
2073	6.578395000000004	13.137080	4.892825	0
1246	1.8052899999999972	3.199955	5.959355	1
3823	27.75387	11.406615	8.164320	0
4263	32.503980000000006	26.857065	18.932550	0
1704	27.67503	6.802870	7.379205	0
0368	28.878986550475307	17.508320	5.933805	0
0901	15.393145000000006	11.935500	3.651460	0
0881	31.43416500000001	2.717425	5.787440	0
3244	5.843284999999998	9.422110	2.361550	1
1360	12.513527370101315	13.954315	4.612870	0
3643	10.843419999999998	17.959825	4.980790	0
1920	11.277039999999998	4.165380	12.670245	0
4161	8.12125	12.440660	1.657100	0
1714	7.234366462859558	16.495810	8.081830	0
0070	28.80871999999999	29.396005	1.249760	0
2002	23.558195	28.606510	1.810400	0
3784	14.760628874350276	18.249635	6.759070	0
0460	31.867054999999997	29.462070	6.070315	0
2422	24.830610333909107	30.497940	0.376680	0
